Countries,Currencies,1stround,2ndround,3rdround,1stfiscal,2ndfiscal,3rdfiscal
Belgium,EUR,3/6/2020,3/21/2020,3/31/2020,3e+09,1.3e+10,5e+10
Denmark,DKK,3/15/2020,,,2.87e+11,,
France,EUR,3/12/2020,3/26/2020,4/16/2020,5.67e+10,2.28e+11,3.38e+11
Germany,EUR,3/9/2020,3/23/2020,3/27/2020,3.46e+11,5e+11,9.32e+11
Greece,EUR,3/30/2020,,,6.8e+09,,
Hungary,Huf,3/17/2020,3/23/2020,,2.09e+11,3.87e+11,
Italy,EUR,3/17/2020,4/8/2020,,1.6e+10,7.65e+11,
Netherlands,EUR,3/17/2020,,,4.32e+10,,
Portugal,EUR,3/13/2020,3/20/2020,4/6/2020,5.2e+09,2.33e+10,1.17e+10
Spain,EUR,3/12/2020,3/17/2020,3/31/2020,1.39e+10,1.86e+10,1.12e+11
United Kingdom,GBP,3/11/2020,3/23/2020,4/8/2020,1.01e+11,3.3e+11,3e+10
United States,USD,3/6/2020,3/26/2020,4/23/2020,1.94e+12,5.61e+11,5.6e+11
Canada,CAD,3/5/2020,3/18/2020,3/27/2020,1.07e+11,8.2e+10,1.3e+10
China ,CNY,2/3/2020,2/23/2020,3/13/2020,1.2e+12,9.95e+10,5.5e+11
Saudi Arabia,USD,3/15/2020,,,1.33e+10,,
Australia ,AUD,3/12/2020,3/22/2020,,1.23e+11,1.89e+11,
Switzerland,CHF,3/13/2020,3/23/2020,4/3/2020,4e+10,3.2e+10,2e+10
Brazil,USD,3/26/2020,,,1.5e+11,,
Iceland,ISK,3/10/2020,,,3.5e+10,,